Task,Encoder,Classifier,Probed Word,Accuracy,ci_lower,mean,ci_upper,Target
gender,ELMo,1024,questioned,86.95,86.8,86.95,87.1,object
gender,ELMo,1024,the_2,77.15,66,77.24,88.3,object
gender,ELMo,1024,judge,87.3,85.88,87.3,88.6,object
gender,ELMo,1024_1024_1024,the_1,63.64,63.19,63.63,64.03,object
gender,ELMo,1024_1024_1024,lawyers,63.69,62.61,63.72,64.88,object
gender,ELMo,1024_1024_1024,questioned,86.95,86.8,86.95,87.1,object
gender,ELMo,1024_1024_1024,the_2,85.3,85.3,85.3,85.3,object
gender,ELMo,1024_1024_1024,judge,89.33,88.3,89.33,89.9,object
gender,ELMo,20_20_20,the_1,63.64,63.19,63.63,64.03,object
gender,ELMo,20_20_20,lawyers,63.69,62.61,63.72,64.88,object
gender,ELMo,20_20_20,questioned,91.8,90.9,91.8,92.56,object
gender,ELMo,20_20_20,the_2,85.39,81.93,85.47,88.3,object
gender,ELMo,20_20_20,judge,86.81,85.28,86.8,87.99,object
gender,GLoVe,1024,the_1,44,44,44,44,object
gender,GLoVe,1024,lawyers,44,44,44,44,object
gender,GLoVe,1024,questioned,44.1,44,44.1,44.29,object
gender,GLoVe,1024,the_2,44,44,44,44,object
gender,GLoVe,1024,judge,95.52,90.86,95.47,98.9,object
gender,GLoVe,1024_1024_1024,the_1,44,44,44,44,object
gender,GLoVe,1024_1024_1024,lawyers,44,44,44,44,object
gender,GLoVe,1024_1024_1024,questioned,44.01,44,44.01,44.02,object
gender,GLoVe,1024_1024_1024,the_2,44,44,44,44,object
gender,GLoVe,1024_1024_1024,judge,76.25,68.74,76.25,83.43,object
gender,GLoVe,20_20_20,the_1,44,44,44,44,object
gender,GLoVe,20_20_20,lawyers,47.36,46.22,47.36,48.68,object
gender,GLoVe,20_20_20,questioned,48.38,47.42,48.39,49.34,object
gender,GLoVe,20_20_20,the_2,44,44,44,44,object
gender,GLoVe,20_20_20,judge,78.49,70.62,78.49,85.5,object
gender,GPT,1024,the_1,44,44,44,44,object
gender,GPT,1024,lawyers,44,44,44,44,object
gender,GPT,1024,questioned,44,44,44,44,object
gender,GPT,1024,the_2,44,44,44,44,object
gender,GPT,1024,judge,70.49,63.14,70.74,78.19,object
gender,GPT,1024_1024_1024,the_1,44,44,44,44,object
gender,GPT,1024_1024_1024,lawyers,44,44,44,44,object
gender,GPT,1024_1024_1024,questioned,44.17,44,44.17,44.59,object
gender,GPT,1024_1024_1024,the_2,44,44,44,44,object
gender,GPT,1024_1024_1024,judge,45.05,44,45.02,47.51,object
gender,GPT,20_20_20,the_1,44,44,44,44,object
gender,GPT,20_20_20,lawyers,47.14,45.87,47.2,48.53,object
gender,GPT,20_20_20,questioned,48.16,47.17,48.16,49.16,object
gender,GPT,20_20_20,the_2,47.34,46.44,47.35,48.22,object
gender,GPT,20_20_20,judge,79.92,73.1,80.15,86.91,object
number,BERT,1024,the_1,94.95,94.43,94.95,95.46,object
number,BERT,1024,lawyers,94.74,93.9,94.74,95.57,object
number,BERT,1024,questioned,98.26,98.11,98.26,98.41,object
number,BERT,1024,the_2,99.09,99.02,99.09,99.15,object
number,BERT,1024,judge,99.74,99.69,99.74,99.78,object
number,BERT,1024_1024_1024,the_1,94.95,94.43,94.95,95.46,object
number,BERT,1024_1024_1024,lawyers,94.65,94.1,94.65,95.2,object
number,BERT,1024_1024_1024,questioned,97.67,97.5,97.66,98,object
number,BERT,1024_1024_1024,the_2,98.9,98.7,98.9,99.1,object
number,BERT,1024_1024_1024,judge,99.6,99.52,99.6,99.67,object
number,BERT,20_20_20,the_1,94.31,94.12,94.31,94.49,object
number,BERT,20_20_20,lawyers,93.99,93.7,93.99,94.31,object
number,BERT,20_20_20,questioned,97.48,97.37,97.48,97.59,object
number,BERT,20_20_20,the_2,99.03,98.97,99.03,99.08,object
number,BERT,20_20_20,judge,99.59,99.54,99.59,99.64,object
number,ELMo,1024,the_1,78.45,78.11,78.44,78.81,object
number,ELMo,1024,lawyers,73.5,72.62,73.52,74.37,object
number,ELMo,1024,questioned,99.05,99,99.05,99.1,object
number,ELMo,1024,the_2,100,100,100,100,object
number,ELMo,1024,judge,100,100,100,100,object
number,ELMo,1024_1024_1024,the_1,78.45,78.11,78.44,78.81,object
number,ELMo,1024_1024_1024,lawyers,73.5,72.62,73.52,74.37,object
number,ELMo,1024_1024_1024,questioned,96.7,96.7,96.7,96.7,object
number,ELMo,1024_1024_1024,the_2,100,100,100,100,object
number,ELMo,1024_1024_1024,judge,100,100,100,100,object
number,ELMo,20_20_20,the_1,78.45,78.11,78.44,78.81,object
number,ELMo,20_20_20,lawyers,73.5,72.62,73.52,74.37,object
number,ELMo,20_20_20,questioned,98.43,98.13,98.43,98.69,object
number,ELMo,20_20_20,the_2,100,100,100,100,object
number,ELMo,20_20_20,judge,99.97,99.92,99.97,100,object
number,GLoVe,1024,the_1,46.2,46.2,46.2,46.2,object
number,GLoVe,1024,lawyers,46.32,46.22,46.32,46.44,object
number,GLoVe,1024,questioned,46.28,46.21,46.28,46.38,object
number,GLoVe,1024,the_2,46.2,46.2,46.2,46.2,object
number,GLoVe,1024,judge,100,100,100,100,object
number,GLoVe,1024_1024_1024,the_1,46.2,46.2,46.2,46.2,object
number,GLoVe,1024_1024_1024,lawyers,46.2,46.2,46.2,46.2,object
number,GLoVe,1024_1024_1024,questioned,46.2,46.2,46.2,46.2,object
number,GLoVe,1024_1024_1024,the_2,46.2,46.2,46.2,46.2,object
number,GLoVe,1024_1024_1024,judge,83.83,77.03,83.85,90.19,object
number,GLoVe,20_20_20,the_1,46.2,46.2,46.2,46.2,object
number,GLoVe,20_20_20,lawyers,49.35,48.68,49.36,50.06,object
number,GLoVe,20_20_20,questioned,47.35,46.98,47.36,47.72,object
number,GLoVe,20_20_20,the_2,46.2,46.2,46.2,46.2,object
number,GLoVe,20_20_20,judge,68.31,61.15,68.41,75.94,object
number,GPT,1024,the_1,46.2,46.2,46.2,46.2,object
number,GPT,1024,lawyers,46.2,46.2,46.2,46.2,object
number,GPT,1024,questioned,46.2,46.19,46.2,46.2,object
number,GPT,1024,the_2,46.2,46.2,46.2,46.2,object
number,GPT,1024,judge,59.66,57.5,59.62,61.78,object
number,GPT,1024_1024_1024,the_1,46.2,46.2,46.2,46.2,object
number,GPT,1024_1024_1024,lawyers,46.25,46.2,46.25,46.39,object
number,GPT,1024_1024_1024,questioned,46.2,46.2,46.2,46.2,object
number,GPT,1024_1024_1024,the_2,46.2,46.2,46.2,46.2,object
number,GPT,1024_1024_1024,judge,47.52,46.52,47.49,48.77,object
number,GPT,20_20_20,the_1,46.2,46.2,46.2,46.2,object
number,GPT,20_20_20,lawyers,46.93,46.6,46.93,47.29,object
number,GPT,20_20_20,questioned,47.95,47.5,47.95,48.42,object
number,GPT,20_20_20,the_2,48.11,47.67,48.1,48.52,object
number,GPT,20_20_20,judge,60.96,58.64,61.01,63.08,object
animacy,BERT,1024,the_1,98.71,98.3,98.72,99.06,subject
animacy,BERT,1024,lawyers,99.92,99.91,99.92,99.93,subject
animacy,BERT,1024,questioned,99.95,99.9,99.95,99.98,subject
animacy,BERT,1024,the_2,99.44,99.31,99.44,99.55,subject
animacy,BERT,1024,judge,97.97,97.73,97.97,98.22,subject
animacy,BERT,1024_1024_1024,the_1,98.1,98.1,98.1,98.1,subject
animacy,BERT,1024_1024_1024,lawyers,99.9,99.9,99.9,99.9,subject
animacy,BERT,1024_1024_1024,questioned,100,100,100,100,subject
animacy,BERT,1024_1024_1024,the_2,99.5,99.5,99.5,99.5,subject
animacy,BERT,20_20_20,the_1,99.22,99.07,99.22,99.35,subject
animacy,BERT,20_20_20,lawyers,99.86,99.8,99.86,99.9,subject
animacy,BERT,20_20_20,questioned,99.99,99.98,99.99,100,subject
animacy,BERT,20_20_20,the_2,99.35,99.32,99.35,99.38,subject
animacy,BERT,20_20_20,judge,97.95,97.78,97.95,98.11,subject
animacy,ELMo,1024,the_1,100,100,100,100,subject
animacy,ELMo,1024,lawyers,100,100,100,100,subject
animacy,ELMo,1024,questioned,99.94,99.87,99.94,100,subject
animacy,ELMo,1024,the_2,99.94,99.86,99.93,100,subject
animacy,ELMo,1024,judge,90.26,84.48,90.12,95.98,subject
animacy,ELMo,1024_1024_1024,the_1,100,100,100,100,subject
animacy,ELMo,1024_1024_1024,lawyers,100,100,100,100,subject
animacy,ELMo,1024_1024_1024,questioned,100,100,100,100,subject
animacy,ELMo,1024_1024_1024,the_2,100,100,100,100,subject
animacy,ELMo,1024_1024_1024,judge,98,98,98,98,subject
animacy,ELMo,20_20_20,the_1,100,100,100,100,subject
animacy,ELMo,20_20_20,lawyers,98.89,98.06,98.89,99.61,subject
animacy,ELMo,20_20_20,questioned,99.91,99.76,99.91,100,subject
animacy,ELMo,20_20_20,the_2,99.94,99.8,99.94,100,subject
animacy,ELMo,20_20_20,judge,96.17,94.35,96.21,97.74,subject
animacy,GLoVe,1024,the_1,52.8,52.8,52.8,52.8,subject
animacy,GLoVe,1024,lawyers,83.01,76.4,82.88,89.11,subject
animacy,GLoVe,1024,questioned,52.8,52.79,52.8,52.8,subject
animacy,GLoVe,1024,the_2,52.8,52.8,52.8,52.8,subject
animacy,GLoVe,1024,judge,52.95,52.84,52.95,53.1,subject
animacy,GLoVe,1024_1024_1024,the_1,52.8,52.8,52.8,52.8,subject
animacy,GLoVe,1024_1024_1024,lawyers,67.9,61.47,67.71,74.25,subject
animacy,GLoVe,1024_1024_1024,questioned,52.74,52.59,52.74,52.8,subject
animacy,GLoVe,1024_1024_1024,the_2,52.8,52.8,52.8,52.8,subject
animacy,GLoVe,1024_1024_1024,judge,52.88,52.8,52.88,53.07,subject
animacy,GLoVe,20_20_20,the_1,52.8,52.8,52.8,52.8,subject
animacy,GLoVe,20_20_20,lawyers,74.89,68.23,74.85,81.35,subject
animacy,GLoVe,20_20_20,questioned,51.71,51.11,51.7,52.2,subject
animacy,GLoVe,20_20_20,the_2,52.8,52.8,52.8,52.8,subject
animacy,GLoVe,20_20_20,judge,55.76,55.12,55.75,56.39,subject
animacy,GPT,1024,the_1,52.8,52.8,52.8,52.8,subject
animacy,GPT,1024,lawyers,100,100,100,100,subject
animacy,GPT,1024,questioned,97.04,96.6,97.04,97.42,subject
animacy,GPT,1024,the_2,97.19,97.02,97.19,97.4,subject
animacy,GPT,1024,judge,92.51,92.01,92.51,92.89,subject
animacy,GPT,1024_1024_1024,the_1,52.8,52.8,52.8,52.8,subject
animacy,GPT,1024_1024_1024,lawyers,100,100,100,100,subject
animacy,GPT,1024_1024_1024,questioned,97.14,95.35,97.17,98.5,subject
animacy,GPT,1024_1024_1024,the_2,97.55,96.12,97.54,98.9,subject
animacy,GPT,1024_1024_1024,judge,93.3,93.3,93.3,93.3,subject
animacy,GPT,20_20_20,the_1,52.8,52.8,52.8,52.8,subject
animacy,GPT,20_20_20,lawyers,99.81,99.41,99.81,100,subject
animacy,GPT,20_20_20,questioned,97.32,96.76,97.31,97.73,subject
animacy,GPT,20_20_20,the_2,96.85,95.52,96.84,97.82,subject
animacy,GPT,20_20_20,judge,91.71,91.17,91.71,92.1,subject
gender,BERT,1024,the_1,74.42,73.8,74.43,74.95,subject
gender,BERT,1024,lawyers,94.48,93.86,94.48,95.17,subject
gender,BERT,1024,questioned,74.64,72.44,74.65,76.65,subject
gender,BERT,1024,the_2,75.5,74.57,75.52,76.5,subject
gender,BERT,1024,judge,81.4,80.63,81.38,81.92,subject
gender,BERT,1024_1024_1024,the_1,73.6,73.6,73.6,73.6,subject
gender,BERT,1024_1024_1024,lawyers,91,91,91,91,subject
gender,BERT,1024_1024_1024,questioned,67.8,67.8,67.8,67.8,subject
gender,BERT,1024_1024_1024,the_2,71.5,71.5,71.5,71.5,subject
gender,BERT,20_20_20,the_1,73.31,72.86,73.3,73.76,subject
gender,BERT,20_20_20,lawyers,93.36,92.15,93.34,94.04,subject
gender,BERT,20_20_20,questioned,70.82,70.06,70.81,71.58,subject
gender,BERT,20_20_20,the_2,74.2,73.66,74.22,74.76,subject
gender,BERT,20_20_20,judge,81.82,81.3,81.84,82.37,subject
gender,ELMo,1024,the_1,84.92,82.8,84.89,86,subject
gender,ELMo,1024,lawyers,87.51,86.73,87.52,88.15,subject
gender,ELMo,1024,questioned,98.65,98.17,98.64,99.12,subject
gender,ELMo,1024,the_2,97.3,97.3,97.3,97.3,subject
gender,ELMo,1024,judge,93.78,92.5,93.78,94.7,subject
gender,ELMo,1024_1024_1024,the_1,76.7,76.7,76.7,76.7,subject
gender,ELMo,1024_1024_1024,lawyers,70.9,70.9,70.9,70.9,subject
gender,ELMo,1024_1024_1024,questioned,100,100,100,100,subject
gender,ELMo,1024_1024_1024,the_2,98.7,98.7,98.7,98.7,subject
gender,ELMo,1024_1024_1024,judge,67,67,67,67,subject
gender,ELMo,20_20_20,the_1,89.47,87.41,89.47,91.02,subject
gender,ELMo,20_20_20,lawyers,87.47,85.52,87.42,88.3,subject
gender,ELMo,20_20_20,questioned,99.58,99.27,99.58,99.83,subject
gender,ELMo,20_20_20,the_2,99.47,98.83,99.47,99.91,subject
gender,ELMo,20_20_20,judge,61.3,61.3,61.3,61.3,subject
gender,GLoVe,1024,the_1,45.6,45.6,45.6,45.6,subject
gender,GLoVe,1024,lawyers,93.86,88.59,93.77,97.79,subject
gender,GLoVe,1024,questioned,45.6,45.6,45.6,45.6,subject
gender,GLoVe,1024,the_2,45.6,45.6,45.6,45.6,subject
gender,GLoVe,1024,judge,45.6,45.6,45.6,45.6,subject
gender,GLoVe,1024_1024_1024,the_1,45.6,45.6,45.6,45.6,subject
gender,GLoVe,1024_1024_1024,lawyers,71.27,64.04,71.39,78.75,subject
gender,GLoVe,1024_1024_1024,questioned,45.63,45.6,45.63,45.69,subject
gender,GLoVe,1024_1024_1024,the_2,45.6,45.6,45.6,45.6,subject
gender,GLoVe,1024_1024_1024,judge,45.6,45.6,45.6,45.6,subject
gender,GLoVe,20_20_20,the_1,45.6,45.6,45.6,45.6,subject
gender,GLoVe,20_20_20,lawyers,84.3,77.76,84.19,90.7,subject
gender,GLoVe,20_20_20,questioned,46.68,46.32,46.68,47.06,subject
gender,GLoVe,20_20_20,the_2,45.6,45.6,45.6,45.6,subject
gender,GLoVe,20_20_20,judge,46.44,45.89,46.42,47,subject
gender,GPT,1024,the_1,45.6,45.6,45.6,45.6,subject
gender,GPT,1024,lawyers,100,100,100,100,subject
gender,GPT,1024,questioned,99.91,99.76,99.91,100,subject
gender,GPT,1024,the_2,95.88,95.41,95.88,96.32,subject
gender,GPT,1024,judge,96.38,94.5,96.33,97.7,subject
gender,GPT,1024_1024_1024,the_1,45.6,45.6,45.6,45.6,subject
gender,GPT,1024_1024_1024,lawyers,100,100,100,100,subject
gender,GPT,1024_1024_1024,questioned,99.72,98.9,99.73,100,subject
gender,GPT,1024_1024_1024,the_2,94.9,93.6,94.86,96.2,subject
gender,GPT,20_20_20,the_1,45.6,45.6,45.6,45.6,subject
gender,GPT,20_20_20,lawyers,99.04,97.44,99.06,100,subject
gender,GPT,20_20_20,questioned,100,100,100,100,subject
gender,GPT,20_20_20,the_2,96.03,95.64,96.03,96.32,subject
gender,GPT,20_20_20,judge,95.37,94.99,95.36,95.74,subject
number,BERT,1024,the_1,91.31,89.27,91.31,93.37,subject
number,BERT,1024,lawyers,98.31,97.91,98.31,98.74,subject
number,BERT,1024,questioned,96.91,96.43,96.91,97.4,subject
number,BERT,1024,the_2,87.05,85.18,87.01,88.44,subject
number,BERT,1024,judge,89.19,87.39,89.2,90.95,subject
number,BERT,1024_1024_1024,the_1,92.9,92.9,92.9,92.9,subject
number,BERT,1024_1024_1024,lawyers,98.76,97.95,98.77,99.49,subject
number,BERT,1024_1024_1024,questioned,97.8,97.8,97.8,97.8,subject
number,BERT,1024_1024_1024,the_2,91.7,90.3,91.75,93.1,subject
number,BERT,1024_1024_1024,judge,90.7,89.6,90.7,91.8,subject
number,BERT,20_20_20,the_1,93.26,93.02,93.26,93.46,subject
number,BERT,20_20_20,lawyers,98.8,98.62,98.81,98.96,subject
number,BERT,20_20_20,questioned,97.5,97.16,97.51,97.8,subject
number,BERT,20_20_20,the_2,92.46,92.1,92.45,92.72,subject
number,BERT,20_20_20,judge,91.03,90.73,91.02,91.31,subject
number,ELMo,1024,the_1,100,100,100,100,subject
number,ELMo,1024,lawyers,100,100,100,100,subject
number,ELMo,1024,questioned,99.21,98.72,99.22,99.69,subject
number,ELMo,1024,the_2,97.3,97.3,97.3,97.3,subject
number,ELMo,1024,judge,93.78,92.5,93.78,94.7,subject
number,ELMo,1024_1024_1024,the_1,100,100,100,100,subject
number,ELMo,1024_1024_1024,lawyers,100,100,100,100,subject
number,ELMo,1024_1024_1024,questioned,99.9,99.9,99.9,99.9,subject
number,ELMo,1024_1024_1024,the_2,94.15,93.7,94.17,94.6,subject
number,ELMo,1024_1024_1024,judge,91.4,91.4,91.4,91.4,subject
number,ELMo,20_20_20,the_1,100,100,100,100,subject
number,ELMo,20_20_20,lawyers,100,100,100,100,subject
number,ELMo,20_20_20,questioned,99.77,99.6,99.77,99.93,subject
number,ELMo,20_20_20,the_2,96.4,96.05,96.39,96.72,subject
number,ELMo,20_20_20,judge,92.67,92.48,92.67,92.88,subject
number,GLoVe,1024,the_1,47,47,47,47,subject
number,GLoVe,1024,lawyers,97.78,94.38,97.76,100,subject
number,GLoVe,1024,questioned,47.02,47,47.02,47.05,subject
number,GLoVe,1024,the_2,47,47,47,47,subject
number,GLoVe,1024,judge,47.01,47,47.01,47.03,subject
number,GLoVe,1024_1024_1024,the_1,47,47,47,47,subject
number,GLoVe,1024_1024_1024,lawyers,74.13,67.08,74.28,81.26,subject
number,GLoVe,1024_1024_1024,questioned,47.04,47,47.04,47.15,subject
number,GLoVe,1024_1024_1024,the_2,47,47,47,47,subject
number,GLoVe,1024_1024_1024,judge,47.13,47,47.14,47.36,subject
number,GLoVe,20_20_20,the_1,47,47,47,47,subject
number,GLoVe,20_20_20,lawyers,78.17,71.07,78.21,85.44,subject
number,GLoVe,20_20_20,questioned,47.5,47.31,47.5,47.72,subject
number,GLoVe,20_20_20,the_2,47,47,47,47,subject
number,GLoVe,20_20_20,judge,49.14,48.58,49.12,49.67,subject
number,GPT,1024,the_1,47,47,47,47,subject
number,GPT,1024,lawyers,80.34,79.19,80.35,81.52,subject
number,GPT,1024,questioned,96.67,95.05,96.64,97.71,subject
number,GPT,1024,the_2,92.81,91.71,92.83,93.74,subject
number,GPT,1024,judge,90.88,89.37,90.9,92.06,subject
number,GPT,1024_1024_1024,the_1,47,47,47,47,subject
number,GPT,1024_1024_1024,lawyers,80.81,76.58,80.85,84.9,subject
number,GPT,1024_1024_1024,questioned,94.65,92.69,94.64,96.64,subject
number,GPT,1024_1024_1024,the_2,91.85,90.87,91.85,92.9,subject
number,GPT,1024_1024_1024,judge,92,92,92,92,subject
number,GPT,20_20_20,the_1,47,47,47,47,subject
number,GPT,20_20_20,lawyers,84.33,84.07,84.33,84.57,subject
number,GPT,20_20_20,questioned,97.66,97.07,97.65,98.15,subject
number,GPT,20_20_20,the_2,93.89,93.41,93.91,94.37,subject
number,GPT,20_20_20,judge,92.53,91.96,92.52,93,subject
causative,BERT,1024,the_1,75.17,65.6,75.3,81.2,verb
causative,BERT,1024,lawyers,75.93,71.72,75.87,80.14,verb
causative,BERT,1024,questioned,80.8,78.23,80.8,83.33,verb
causative,BERT,1024,the_2,77.29,74.47,77.34,80.05,verb
causative,BERT,1024,judge,78.36,76.25,78.33,80.53,verb
causative,BERT,1024_1024_1024,the_1,75.17,65.6,75.3,81.2,verb
causative,BERT,1024_1024_1024,lawyers,78,76.2,77.95,79.8,verb
causative,BERT,1024_1024_1024,questioned,80.8,78.23,80.8,83.33,verb
causative,BERT,1024_1024_1024,the_2,77.29,74.47,77.34,80.05,verb
causative,BERT,1024_1024_1024,judge,81.4,81.4,81.4,81.4,verb
causative,BERT,20_20_20,the_1,79.94,79.22,79.94,80.59,verb
causative,BERT,20_20_20,lawyers,77.53,76.35,77.55,78.73,verb
causative,BERT,20_20_20,questioned,83.42,82.9,83.43,83.87,verb
causative,BERT,20_20_20,the_2,79.65,78.86,79.64,80.31,verb
causative,BERT,20_20_20,judge,82.48,81.83,82.48,83.1,verb
causative,ELMo,1024,the_1,90.9,90.6,90.91,91.2,verb
causative,ELMo,1024,lawyers,77.8,77.8,77.8,77.8,verb
causative,ELMo,1024,questioned,93.62,93.12,93.62,93.99,verb
causative,ELMo,1024,the_2,86.58,83.19,86.69,90.08,verb
causative,ELMo,1024,judge,87.43,85.47,87.43,88.7,verb
causative,ELMo,1024_1024_1024,lawyers,76.2,76.2,76.2,76.2,verb
causative,ELMo,1024_1024_1024,questioned,93.34,91.33,93.34,94.33,verb
causative,ELMo,1024_1024_1024,the_2,89.23,88.7,89.23,89.6,verb
causative,ELMo,1024_1024_1024,judge,90.6,88.9,90.69,92.3,verb
causative,ELMo,20_20_20,the_1,90.9,90.84,90.9,90.96,verb
causative,ELMo,20_20_20,lawyers,75.98,75.52,75.98,76.48,verb
causative,ELMo,20_20_20,questioned,92.55,91.39,92.53,93.63,verb
causative,ELMo,20_20_20,the_2,91.27,89.96,91.26,92.37,verb
causative,ELMo,20_20_20,judge,86.91,86.25,86.91,87.64,verb
causative,GLoVe,1024,the_1,49.6,49.6,49.6,49.6,verb
causative,GLoVe,1024,lawyers,49.59,49.57,49.59,49.6,verb
causative,GLoVe,1024,questioned,98.24,95.83,98.22,99.59,verb
causative,GLoVe,1024,the_2,49.6,49.6,49.6,49.6,verb
causative,GLoVe,1024,judge,49.6,49.6,49.6,49.6,verb
causative,GLoVe,1024_1024_1024,the_1,49.6,49.6,49.6,49.6,verb
causative,GLoVe,1024_1024_1024,lawyers,49.6,49.6,49.6,49.6,verb
causative,GLoVe,1024_1024_1024,questioned,76.77,70.88,76.95,82.66,verb
causative,GLoVe,1024_1024_1024,the_2,49.6,49.6,49.6,49.6,verb
causative,GLoVe,1024_1024_1024,judge,49.6,49.6,49.6,49.6,verb
causative,GLoVe,20_20_20,the_1,49.6,49.6,49.6,49.6,verb
causative,GLoVe,20_20_20,lawyers,49.96,49.76,49.96,50.22,verb
