Task,Encoder,Classifier,Probed Word,Accuracy,ci_lower,mean,ci_upper
object,GLoVe,1024_1024_1024,judge,22.55,18.65,22.52,26.17
object,GLoVe,20_20_20,the_1,3.62,3.54,3.62,3.72
object,GLoVe,20_20_20,lawyers,27.55,26.46,27.57,28.68
object,GLoVe,20_20_20,questioned,3.47,3.38,3.47,3.57
object,GLoVe,20_20_20,the_2,3.65,3.57,3.65,3.75
object,GLoVe,20_20_20,judge,28.11,26.81,28.11,29.47
object,GPT,1024,the_1,3.31,3.3,3.31,3.32
object,GPT,1024,lawyers,3.31,3.3,3.31,3.32
object,GPT,1024,questioned,3.31,3.3,3.31,3.32
object,GPT,1024,the_2,3.31,3.3,3.31,3.32
object,GPT,1024,judge,62.9,60.52,62.89,65.62
object,GPT,1024_1024_1024,the_1,3.82,3.6,3.81,4.05
object,GPT,1024_1024_1024,lawyers,3.31,3.3,3.31,3.32
object,GPT,1024_1024_1024,questioned,3.31,3.3,3.31,3.32
object,GPT,1024_1024_1024,the_2,3.31,3.3,3.31,3.32
object,GPT,1024_1024_1024,judge,26.1,23.46,26.14,29.17
object,GPT,20_20_20,the_1,3.74,3.58,3.75,3.92
object,GPT,20_20_20,lawyers,3.31,3.3,3.31,3.32
object,GPT,20_20_20,questioned,3.31,3.3,3.31,3.32
object,GPT,20_20_20,the_2,3.31,3.3,3.31,3.32
object,GPT,20_20_20,judge,54.41,52.59,54.45,56.14
subject,BERT,1024,the_1,59.37,57.16,59.38,61.66
subject,BERT,1024,lawyers,65.8,63.37,65.82,68.12
subject,BERT,1024,questioned,63.1,60.51,63.02,65.56
subject,BERT,1024,the_2,59.61,56.58,59.59,62.22
subject,BERT,1024,judge,60.53,58.21,60.62,62.88
subject,BERT,1024_1024_1024,the_1,29.87,26.61,29.88,33.17
subject,BERT,1024_1024_1024,lawyers,32.88,29.7,32.84,36.14
subject,BERT,1024_1024_1024,questioned,25.74,22.44,25.74,29.04
subject,BERT,1024_1024_1024,the_2,26.15,22.36,26.13,29.91
subject,BERT,1024_1024_1024,judge,27.42,24.62,27.41,30.27
subject,BERT,20_20_20,the_1,57.17,55.77,57.16,58.52
subject,BERT,20_20_20,lawyers,62.42,59.98,62.45,64.93
subject,BERT,20_20_20,questioned,52.29,50.11,52.23,54.09
subject,BERT,20_20_20,the_2,48.82,47.43,48.81,50.29
subject,BERT,20_20_20,judge,46.69,44.93,46.65,48.3
subject,ELMo,1024,the_1,30.23,27.57,30.22,33.24
subject,ELMo,1024,lawyers,57.77,55.42,57.77,60.07
subject,ELMo,1024,questioned,64.99,62.75,65.01,67.2
subject,ELMo,1024,the_2,29.79,26.57,29.84,32.9
subject,ELMo,1024,judge,17.43,15.08,17.39,19.66
subject,ELMo,1024_1024_1024,the_1,12.53,10.6,12.53,14.82
subject,ELMo,1024_1024_1024,lawyers,35.32,32.63,35.27,37.77
subject,ELMo,1024_1024_1024,questioned,24.91,21.66,24.88,28.04
subject,ELMo,1024_1024_1024,the_2,16.57,13.3,16.63,20.13
subject,ELMo,1024_1024_1024,judge,12.52,10.21,12.58,15.05
subject,ELMo,20_20_20,the_1,57.79,55,57.78,60.69
subject,ELMo,20_20_20,lawyers,59.88,57.02,59.87,62.43
subject,ELMo,20_20_20,questioned,52.03,50.04,52.01,54
subject,ELMo,20_20_20,the_2,46.19,44.53,46.22,48.05
subject,ELMo,20_20_20,judge,20.8,19.68,20.77,21.75
subject,GLoVe,1024,the_1,3.36,3.25,3.36,3.46
subject,GLoVe,1024,lawyers,53.52,51.51,53.52,55.27
subject,GLoVe,1024,questioned,2.93,2.8,2.93,3.06
subject,GLoVe,1024,the_2,3.38,3.28,3.38,3.49
subject,GLoVe,1024,judge,2.76,2.64,2.76,2.88
subject,GLoVe,1024_1024_1024,the_1,3.56,3.46,3.55,3.64
subject,GLoVe,1024_1024_1024,lawyers,53.71,51.13,53.76,56.44
subject,GLoVe,1024_1024_1024,questioned,3.23,3.12,3.23,3.34
subject,GLoVe,1024_1024_1024,the_2,3.65,3.55,3.65,3.74
subject,GLoVe,1024_1024_1024,judge,2.89,2.77,2.89,3.02
subject,GLoVe,20_20_20,the_1,3.72,3.68,3.72,3.76
subject,GLoVe,20_20_20,lawyers,52.68,50.23,52.67,54.64
subject,GLoVe,20_20_20,questioned,3.32,3.17,3.32,3.46
subject,GLoVe,20_20_20,the_2,3.59,3.52,3.59,3.66
subject,GLoVe,20_20_20,judge,3.09,2.95,3.1,3.24
subject,GPT,1024,the_1,3.13,3.06,3.13,3.21
subject,GPT,1024,lawyers,52.76,50.18,52.81,55.44
subject,GPT,1024,questioned,61.71,56.34,61.75,66.37
subject,GPT,1024,the_2,74.36,70.38,74.47,78.07
subject,GPT,1024,judge,61.09,56.31,60.94,64.87
subject,GPT,1024_1024_1024,the_1,3.68,3.6,3.68,3.76
subject,GPT,1024_1024_1024,lawyers,27.58,24.92,27.58,30.38
subject,GPT,1024_1024_1024,questioned,21.33,18.27,21.31,24.31
subject,GPT,1024_1024_1024,the_2,37.61,33.88,37.57,41.12
subject,GPT,1024_1024_1024,judge,28.81,25.87,28.85,31.64
subject,GPT,20_20_20,the_1,3.61,3.53,3.61,3.68
subject,GPT,20_20_20,lawyers,58.63,55.83,58.59,61.23
subject,GPT,20_20_20,questioned,57.28,55.45,57.35,59.46
subject,GPT,20_20_20,the_2,62.4,60.25,62.38,64.52
subject,GPT,20_20_20,judge,42.46,41.1,42.45,43.65
verb,BERT,1024,the_1,61.31,58.58,61.31,64.24
verb,BERT,1024,lawyers,65.7,63.15,65.66,68.13
verb,BERT,1024,questioned,65.7,63.35,65.73,67.98
verb,BERT,1024,the_2,67.57,65.04,67.53,69.96
verb,BERT,1024,judge,66.38,64.62,66.38,68.2
verb,BERT,1024_1024_1024,the_1,31.58,28.07,31.61,35.2
verb,BERT,1024_1024_1024,lawyers,33.06,30.26,33.1,36.01
verb,BERT,1024_1024_1024,questioned,35.71,32.65,35.74,38.72
verb,BERT,1024_1024_1024,the_2,38.17,34.98,38.15,41.08
verb,BERT,1024_1024_1024,judge,41.22,37.86,41.22,44.55
verb,BERT,20_20_20,the_1,57.97,55.98,58.02,60.13
verb,BERT,20_20_20,lawyers,57.99,56.29,58.01,59.82
verb,BERT,20_20_20,questioned,61.28,58.76,61.26,63.95
verb,BERT,20_20_20,the_2,63.4,61.21,63.45,65.64
verb,BERT,20_20_20,judge,59.64,58.21,59.67,61.24
verb,ELMo,1024,the_1,22.15,19.35,22.19,25.33
verb,ELMo,1024,lawyers,42.23,37.92,42.16,46.01
verb,ELMo,1024,questioned,62.31,60.19,62.31,64.35
verb,ELMo,1024,the_2,52.57,49.8,52.52,55.43
verb,ELMo,1024,judge,60.28,57.48,60.27,63.13
verb,ELMo,1024_1024_1024,the_1,19.21,15.72,19.22,22.72
verb,ELMo,1024_1024_1024,lawyers,21.37,18.35,21.33,24.22
verb,ELMo,1024_1024_1024,questioned,35.03,32.14,35,37.56
verb,ELMo,1024_1024_1024,the_2,22.74,19.94,22.76,25.72
verb,ELMo,1024_1024_1024,judge,31.18,27.97,31.14,34.28
verb,ELMo,20_20_20,the_1,48.58,46.53,48.57,50.69
verb,ELMo,20_20_20,lawyers,39.08,37.81,39.06,40.37
verb,ELMo,20_20_20,questioned,62.22,59.65,62.25,64.85
verb,ELMo,20_20_20,the_2,63.6,61.03,63.64,66.12
verb,ELMo,20_20_20,judge,58.74,56.36,58.73,61.2
verb,GLoVe,1024,the_1,3.31,3.28,3.31,3.35
verb,GLoVe,1024,lawyers,19.34,18.47,19.34,20.2
verb,GLoVe,1024,questioned,19.75,19.02,19.76,20.51
verb,GLoVe,1024,the_2,3.29,3.25,3.29,3.32
verb,GLoVe,1024,judge,19.51,18.58,19.52,20.41
verb,GLoVe,1024_1024_1024,the_1,3.46,3.34,3.46,3.57
verb,GLoVe,1024_1024_1024,lawyers,17.35,15.48,17.35,19.16
verb,GLoVe,1024_1024_1024,questioned,21.02,20.15,21.02,21.89
verb,GLoVe,1024_1024_1024,the_2,3.41,3.29,3.41,3.5
verb,GLoVe,1024_1024_1024,judge,19.38,17.57,19.38,21.1
verb,GLoVe,20_20_20,the_1,3.36,3.24,3.36,3.47
verb,GLoVe,20_20_20,lawyers,20.52,19.75,20.54,21.31
verb,GLoVe,20_20_20,questioned,20.11,19.15,20.11,20.97
verb,GLoVe,20_20_20,the_2,3.31,3.2,3.31,3.43
verb,GLoVe,20_20_20,judge,20.24,19.29,20.25,21.22
verb,GPT,1024,the_1,3.46,3.33,3.46,3.56
verb,GPT,1024,lawyers,3.46,3.33,3.46,3.56
verb,GPT,1024,questioned,56.25,53.69,56.3,58.84
verb,GPT,1024,the_2,76.14,73.94,76.19,78.51
verb,GPT,1024,judge,75.9,72.08,75.89,78.45
verb,GPT,1024_1024_1024,the_1,2.96,2.75,2.97,3.18
verb,GPT,1024_1024_1024,lawyers,2.96,2.75,2.97,3.18
verb,GPT,1024_1024_1024,questioned,31.17,28.34,31.28,34.44
verb,GPT,1024_1024_1024,the_2,44.85,41.97,44.79,47.85
verb,GPT,1024_1024_1024,judge,36.78,32.92,36.83,40.54
verb,GPT,20_20_20,the_1,3.28,3.09,3.28,3.45
verb,GPT,20_20_20,lawyers,3.28,3.09,3.28,3.45
verb,GPT,20_20_20,questioned,56.59,54.24,56.57,58.78
verb,GPT,20_20_20,the_2,63.5,61.1,63.44,65.97
verb,GPT,20_20_20,judge,54.14,52.16,54.12,55.96
