Task,Encoder,Classifier,Probed Word,Accuracy,ci_lower,mean,ci_upper
subject,ELMo,1024_1024_1024,questioned,24.90666667,21.66313953,24.87608008,28.03525036
subject,ELMo,1024_1024_1024,the_2,16.574074070000002,13.30312179,16.62543191,20.12826136
subject,ELMo,1024_1024_1024,judge,12.52,10.20511029,12.58242809,15.051
subject,ELMo,20_20_20,the_1,57.794,54.99605682,57.782272,60.68737939
subject,ELMo,20_20_20,lawyers,59.884,57.01720395,59.86799035,62.4255984
subject,ELMo,20_20_20,questioned,52.026,50.037376449999996,52.00513507,53.99794961
subject,ELMo,20_20_20,the_2,46.19,44.53406929,46.22409808,48.04705793
subject,ELMo,20_20_20,judge,20.80204082,19.68037513,20.77282727,21.7473542
subject,GPT,1024,the_1,3.126,3.056737838,3.126189777,3.205172414
subject,GPT,1024,lawyers,52.762,50.1838196,52.8061727,55.4377673
subject,GPT,1024,questioned,61.708,56.340219,61.74522883,66.37216809
subject,GPT,1024,the_2,74.36,70.38305648,74.47177342,78.07232143
subject,GPT,1024,judge,61.09,56.31387043,60.93719877,64.87274011
subject,GPT,1024_1024_1024,the_1,3.68,3.60195,3.67892085,3.755013889
subject,GPT,1024_1024_1024,lawyers,27.57959184,24.92006841,27.58350235,30.37767857
subject,GPT,1024_1024_1024,questioned,21.33181818,18.26707156,21.31240222,24.31161765
subject,GPT,1024_1024_1024,the_2,37.6106383,33.88018769,37.5698021,41.11833838
subject,GPT,1024_1024_1024,judge,28.80612245,25.87075255,28.84883909,31.64434231
subject,GPT,20_20_20,the_1,3.612,3.525443182,3.610875347,3.683681633
subject,GPT,20_20_20,lawyers,58.632,55.83261574,58.590879,61.23368421
subject,GPT,20_20_20,questioned,57.282,55.4456875,57.34501871,59.45516142
subject,GPT,20_20_20,the_2,62.404,60.24812554,62.3842358,64.51874484
subject,GPT,20_20_20,judge,42.456,41.10114844,42.4463319,43.64529245
verb,BERT,1024,the_1,61.314,58.57707346,61.30857518,64.23506304
verb,BERT,1024,lawyers,65.698,63.15202974,65.6613667,68.12662681
verb,BERT,1024,questioned,65.704,63.34644533,65.72533726,67.97939683
verb,BERT,1024,the_2,67.568,65.04,67.53226416,69.96417092
verb,BERT,1024,judge,66.376,64.61760361,66.37722243,68.19846676
verb,BERT,1024_1024_1024,the_1,31.57555556,28.0705,31.60504974,35.19556306
verb,BERT,1024_1024_1024,lawyers,33.06,30.2617473,33.10247115,36.00643202
verb,BERT,1024_1024_1024,questioned,35.712,32.64761039,35.74368501,38.71996646
verb,BERT,1024_1024_1024,the_2,38.166,34.97857759,38.14816158,41.0759995
verb,BERT,1024_1024_1024,judge,41.216,37.85701503,41.21837853,44.54594188
verb,BERT,20_20_20,the_1,57.968,55.97520255,58.01748033,60.12961932
verb,BERT,20_20_20,lawyers,57.994,56.28556014,58.00631849,59.82217517
verb,BERT,20_20_20,questioned,61.278,58.76359792,61.26422294,63.9470758
verb,BERT,20_20_20,the_2,63.402,61.21416113,63.44677884,65.63503409
verb,BERT,20_20_20,judge,59.644,58.21036316,59.67460607,61.2428
verb,ELMo,1024,the_1,22.14693878,19.34505,22.18711554,25.32514423
verb,ELMo,1024,lawyers,42.23333333,37.9193944,42.15797054,46.01180392
verb,ELMo,1024,questioned,62.31,60.19479148,62.3108649,64.34831726
verb,ELMo,1024,the_2,52.568,49.80191142,52.51591092,55.42537623
verb,ELMo,1024,judge,60.284,57.47712168,60.26605977,63.13361111
verb,ELMo,1024_1024_1024,the_1,19.20689655,15.71863793,19.21751322,22.72113462
verb,ELMo,1024_1024_1024,lawyers,21.37380952,18.35479167,21.33475597,24.22268151
verb,ELMo,1024_1024_1024,questioned,35.028,32.14185386,35.00192683,37.55522222
verb,ELMo,1024_1024_1024,the_2,22.74347826,19.94392857,22.75861993,25.71716837
verb,ELMo,1024_1024_1024,judge,31.17755102,27.97105149,31.14025917,34.27734043
verb,ELMo,20_20_20,the_1,48.58,46.5266678,48.56771007,50.69472389
verb,ELMo,20_20_20,lawyers,39.08,37.80627549,39.05787096,40.37436607
verb,ELMo,20_20_20,questioned,62.224,59.64539976,62.25146559,64.85402636
verb,ELMo,20_20_20,the_2,63.602,61.03263636,63.6389425,66.11659157
verb,ELMo,20_20_20,judge,58.744,56.35939858,58.73103758,61.19825397
verb,GPT,1024,the_1,3.458,3.326660377,3.457513209,3.563836607
verb,GPT,1024,lawyers,3.458,3.326660377,3.457513209,3.563836607
verb,GPT,1024,questioned,56.246,53.68520848,56.30140466,58.835402620000004
verb,GPT,1024,the_2,76.144,73.94369038,76.19004513,78.50871011
verb,GPT,1024,judge,75.896,72.07607456,75.89434136,78.45205266
verb,GPT,1024_1024_1024,the_1,2.962,2.750933423,2.967271139,3.176276455
verb,GPT,1024_1024_1024,lawyers,2.962,2.750933423,2.967271139,3.176276455
verb,GPT,1024_1024_1024,questioned,31.16530612,28.33664966,31.27746433,34.44144947
verb,GPT,1024_1024_1024,the_2,44.85,41.97107143,44.79041663,47.84859659
verb,GPT,1024_1024_1024,judge,36.77906977,32.924375,36.82776554,40.53918605
verb,GPT,20_20_20,the_1,3.276,3.093163593,3.275989271,3.445614989
verb,GPT,20_20_20,lawyers,3.276,3.093163593,3.275989271,3.445614989
verb,GPT,20_20_20,questioned,56.594,54.243653,56.57376781,58.78369186
verb,GPT,20_20_20,the_2,63.502,61.09674232,63.43870898,65.96677679
verb,GPT,20_20_20,judge,54.144,52.15966279,54.12445212,55.95809322
object,GLoVe,1024,the_1,3.275,3.212714932,3.27596218,3.356253324
object,GLoVe,1024,lawyers,26.624,25.2519037,26.60576769,27.91467995
object,GLoVe,1024,questioned,3.769,3.684144132,3.768935944,3.85797627
object,GLoVe,1024,the_2,3.319,3.231726974,3.320857173,3.417652311
object,GLoVe,1024,judge,27.78,26.38610491,27.7802975,29.09858073
object,GLoVe,1024_1024_1024,the_1,3.615,3.517012411,3.616118519,3.719852431
object,GLoVe,1024_1024_1024,lawyers,25.309,22.1322686,25.32024717,28.71418191
object,GLoVe,1024_1024_1024,questioned,3.531,3.4343688,3.529600645,3.627117457
object,GLoVe,1024_1024_1024,the_2,3.753,3.626635965,3.750124704,3.868293699
object,GLoVe,1024_1024_1024,judge,22.55,18.65048155,22.52346544,26.16912685
object,GLoVe,20_20_20,the_1,3.62,3.540176753,3.619365992,3.715398936
object,GLoVe,20_20_20,lawyers,27.552,26.46310101,27.57393392,28.68248933
object,GLoVe,20_20_20,questioned,3.469,3.380215381,3.469594394,3.567599206
object,GLoVe,20_20_20,the_2,3.655,3.565827687,3.654956771,3.745496753
object,GLoVe,20_20_20,judge,28.108,26.81498854,28.10797822,29.46633124
subject,GLoVe,1024,the_1,3.359615385,3.25246301,3.359095504,3.460363985
subject,GLoVe,1024,lawyers,53.52115385,51.508141,53.5191405,55.27422198
subject,GLoVe,1024,questioned,2.925490196,2.795048668,2.926033937,3.057142857
subject,GLoVe,1024,the_2,3.382352941,3.279543998,3.384403086,3.487506378
subject,GLoVe,1024,judge,2.762745098,2.638385417,2.762871053,2.883717049
subject,GLoVe,1024_1024_1024,the_1,3.555769231,3.462491554,3.553065108,3.638163265
subject,GLoVe,1024_1024_1024,lawyers,53.70576923,51.12664526,53.76365132,56.44094307
subject,GLoVe,1024_1024_1024,questioned,3.22745098,3.120690395,3.227626603,3.344450355
subject,GLoVe,1024_1024_1024,the_2,3.649019608,3.546506245,3.650258861,3.743488865
subject,GLoVe,1024_1024_1024,judge,2.890196078,2.769464764,2.894673237,3.020055556
subject,GLoVe,20_20_20,the_1,3.723076923,3.681803977,3.722790212,3.759585106
subject,GLoVe,20_20_20,lawyers,52.68269231,50.23392066,52.66837793,54.63854038
subject,GLoVe,20_20_20,questioned,3.321153846,3.174465241,3.318965807,3.463049024
subject,GLoVe,20_20_20,the_2,3.592156863,3.517855159,3.590736348,3.659625
subject,GLoVe,20_20_20,judge,3.092156863,2.948957025,3.095586659,3.24152439
verb,GLoVe,1024,the_1,3.311333333,3.27801383,3.311424215,3.345681316
verb,GLoVe,1024,lawyers,19.34333333,18.46797475,19.33935989,20.2032107
verb,GLoVe,1024,questioned,19.74933333,19.02093645,19.76315395,20.50735212
verb,GLoVe,1024,the_2,3.291333333,3.24999269,3.290507025,3.324400643
verb,GLoVe,1024,judge,19.50733333,18.58306373,19.52088801,20.40849619
verb,GLoVe,1024_1024_1024,the_1,3.46,3.344217317,3.45958572,3.57093465
verb,GLoVe,1024_1024_1024,lawyers,17.35133333,15.47807665,17.34862142,19.16046584
verb,GLoVe,1024_1024_1024,questioned,21.024,20.15424436,21.02045089,21.88960145
verb,GLoVe,1024_1024_1024,the_2,3.406,3.294736771,3.405515584,3.500890805
verb,GLoVe,1024_1024_1024,judge,19.37533333,17.56653101,19.37858629,21.10216277
verb,GLoVe,20_20_20,the_1,3.363333333,3.243175084,3.364137677,3.471138889
verb,GLoVe,20_20_20,lawyers,20.52066667,19.74742063,20.54207741,21.31467803
verb,GLoVe,20_20_20,questioned,20.106,19.15061989,20.1138256,20.96939103
verb,GLoVe,20_20_20,the_2,3.31,3.197358388,3.311747329,3.429879889
verb,GLoVe,20_20_20,judge,20.23533333,19.28869281,20.25345161,21.21864583
